date,ad_unit,adx_impressions,adx_revenue,avg_adx_cpm
2024/1/31,a_444tadaima.and_300x250_middle_23574,1373,113,83
2024/1/31,a_444tadaima.and_320x50_footer_23574,3101,273,88
2024/1/31,a_450747084_320x50_footer_15509,19,0,11
2024/1/31,a_453410542_320x50_footer_15501,2,0,108
2024/1/31,a_818376041_336x280_middle1sttop_14787_HOMERICH,2,0,28
2024/1/31,a_818376041_336x280_middle2ndtop_14787_GROUPRICH,101,1,9
2024/1/31,a_818376041_336x280_middle3rd_14787_GROUPLIGHT,8,0,10
2024/1/31,a_2chmm.ios_320x50_footer_16737,15726,103,7
2024/1/31,a_2chmm3.ios_320x50_footer_18968,8427,76,9
2024/1/31,a_369319786_320x50_footer_15503,78,3,39
2024/1/31,a_t-healthcare.ios.js_300x250_under-target_30411,66,12,179
2024/1/31,a_t-healthcare.ios.js_320x50_under-meal1_30411,677,330,487
2024/1/31,a_t-healthcare.ios.js_320x50_under-searchwindow_30411,9815,2211,225
2024/1/31,a_t-healthcare.ios.js_320x50_above-vitamin_30411,338,8,23
2024/1/31,a_t-healthcare.ios.js_320x100_gamen-above_30411,7753,178,23
2024/1/31,a_t-healthcare.ios.js_320x100_mealkiroku-button-shita1_30411,6332,218,34
2024/1/31,a_tanabata.ios_320x50_header_18660,16,0,13
2024/1/31,a_tanabata.ios_336x280_middle1st_18660,8,0,33
2024/1/31,a_taiyo.ios_320x50_header_24372,6,0,14
2024/1/31,a_tkmixiviewer.and_320x50_header_17236,14,0,4
2024/1/31,a_todolist.ios_320x50_footer_15681,589,24,40
2024/1/31,a_twinkle.ios_320x50_footer_18246,56,0,5
2024/1/31,a_twinkle.ios_320x50_threadlist_18246,16,0,4
2024/1/31,a_ultimareversi.and_1024x768_rewarded-video_16178,1,0,59
2024/1/31,a_ultimareversi.and_320x50_footer_16178,7,0,10
2024/1/31,a_usemono.ios_320x50_footer_21991,16,1,35
2024/1/31,a_usemono.ios_320x50_header_21991,8,0,28
2024/1/31,a_usemono.ios_336x280_middle_21991,2,0,171
2024/1/31,a_vampire.ios_320x50_footer_21385,6,0,22
2024/1/31,a_vampire.ios_320x50_header_21385,3,0,39
2024/1/31,a_vampire.ios_336x280_middle1st_21385,1,0,18
2024/1/31,a_wedding.ios_1024x768_Interstitial_17449,5,4,805
2024/1/31,a_wedding.ios_320x50_footer_17449,73,5,67
2024/1/31,a_wedding.ios_320x50_header_17449,58,2,29
2024/1/31,a_whiteday.ios_1024x768_Interstitial_16983,15,14,907
2024/1/31,a_whiteday.ios_320x50_footer_16983,201,18,91
2024/1/31,a_whiteday.ios_320x50_header_16983,177,6,32
2024/1/31,a_yasuraginoyu.ios_320x50_footer_17627,14,1,37
2024/1/31,a_yasuraginoyu.ios_320x50_header_17627,7,0,20
2024/1/31,a_yumemiru.ios_300x250_middle_23937,2,1,254
2024/1/31,a_yumemiru.ios_320x50_footer_23937,24,0,12
2024/1/31,a_zitannresipi.ios_1024x768_Interstitial_18782,12,15,1278
2024/1/31,a_Valentin.ios_1024x768_Interstitial_16798,2,3,1638
2024/1/31,a_Valentin.ios_320x50_footer_16798,19,1,66
2024/1/31,a_Valentin.ios_320x50_header_16798,19,1,27
2024/1/31,a_air.com.globalgear.kr.ptomo.and_300x250_middle_20066,243,24,97
2024/1/31,a_air.com.globalgear.kr.ptomo.and_320x50_footer_20066,705,22,32
2024/1/31,a_alexahelper.and_1024x768_Interstitial_24873,1,3,3232
2024/1/31,a_amayadori.ios_1024x768_Interstitial_17628,1,1,635
2024/1/31,a_amayadori.ios_320x50_header_17628,11,0,16
2024/1/31,a_amayadori.ios_336x280_middle1st_17628,4,1,141
2024/1/31,a_animallabo.ios_320x50_header_18167,150,4,26
2024/1/31,a_asahakarudake.and_320x50_footer_18180_1,286,28,100
2024/1/31,a_asken.and_300x250_middle_16544,1,0,120
2024/1/31,a_asken.and_320x50_footer_16544,111,2,15
2024/1/31,a_asken.and_336x280_middle_16544_2,12,1,54
2024/1/31,a_asken.ios_300x250_middle_16543,24,1,28
2024/1/31,a_asken.ios_336x280_middle_16543_2,17,1,44
2024/1/31,a_athletic.ios_320x50_header_19626,273,8,28
2024/1/31,a_ayakashi.ios_300x250_middle_22951,1,0,54
2024/1/31,a_ayakashi.ios_320x50_footer_22951,1,0,82
2024/1/31,a_ayakashi.ios_320x50_header_22951,2,0,14
2024/1/31,a_bb2c.ios_320x50_threadlist_18245,642,11,18
2024/1/31,a_candyhouse.ios_320x50_header_18949,117,2,19
2024/1/31,a_catcafe.and_300x250_middle_23585,2,0,45
2024/1/31,a_catcafe.and_320x50_footer_23585,3,0,26
2024/1/31,a_chouseisan.and.sdk_300x250_middle-banner_30560,3901,734,188
2024/1/31,a_chouseisan.and.sdk_320x100_event-bannertop_30560,3143,203,64
2024/1/31,a_chouseisan.and.sdk_320x100_header-bannertop_30560,2945,261,89
2024/1/31,a_chouseisan.ios.sdk_300x250_middle-banner_30561,6358,1265,199
2024/1/31,a_chouseisan.ios.sdk_320x100_event-bannertop_30561,5347,608,114
2024/1/31,a_chouseisan.ios.sdk_320x100_header-bannertop_30561,3156,1017,322
2024/1/31,a_chariso.dx2.ios_1024x768_Interstitial_16937,8,5,587
2024/1/31,a_chariso.dx2.ios_320x50_footer_16937,2,1,279
2024/1/31,a_chariso.dx2.ios_320x50_gameend_16937,2,0,67
2024/1/31,a_com.nowpro.nar04f_320x50_footer_15502,55,8,143
2024/1/31,a_com.nowpro.nar02f_1024x768_interstitial_15504,8,3,344
2024/1/31,a_com.nowpro.nar02f_320x50_footer_15504,141,1,9
2024/1/31,a_com.nowpro.nar03f_320x50_footer_15508,1,0,6
2024/1/31,a_cocololo.and_300x250_header_15905,282,29,105
2024/1/31,a_cocololo.and_320x50_middle1st_15905,241,11,44
2024/1/31,a_cocololo.ios_300x250_header_13821,1435,87,61
2024/1/31,a_cocololo.ios_320x50_middle1st_13821,723,21,29
2024/1/31,a_copepan.and_300x250_middle_23584,42,12,292
2024/1/31,a_copepan.and_320x50_footer_23584,166,8,50
2024/1/31,a_daremo.ios_300x250_middle_23640,1,0,59
2024/1/31,a_daremo.ios_320x50_header_23640,8,0,12
2024/1/31,a_digitalyubisumou.and_300x250_middle_23586,59,6,106
2024/1/31,a_digitalyubisumou.and_320x50_footer_23586,20,0,11
