date,ad_unit,adx_impressions,adx_revenue,avg_adx_cpm
2024/1/31,*************************************,1373,113,83
2024/1/31,************************************,3101,273,88
2024/1/31,*******************************,19,0,11
2024/1/31,*******************************,2,0,108
2024/1/31,***********************************************,2,0,28
2024/1/31,************************************************,101,1,9
2024/1/31,**********************************************,8,0,10
2024/1/31,*******************************,15726,103,7
2024/1/31,********************************,8427,76,9
2024/1/31,*******************************,78,3,39
2024/1/31,************************************************,66,12,179
2024/1/31,**********************************************,677,330,487
2024/1/31,*****************************************************,9815,2211,225
2024/1/31,************************************************,338,8,23
2024/1/31,***********************************************,7753,178,23
2024/1/31,************************************************************,6332,218,34
2024/1/31,**********************************,16,0,13
2024/1/31,**************************************,8,0,33
2024/1/31,*******************************,6,0,14
2024/1/31,**************************************,14,0,4
2024/1/31,**********************************,589,24,40
2024/1/31,*********************************,56,0,5
2024/1/31,*************************************,16,0,4
2024/1/31,*************************************************,1,0,59
2024/1/31,***************************************,7,0,10
2024/1/31,*********************************,16,1,35
2024/1/31,*********************************,8,0,28
2024/1/31,**********************************,2,0,171
2024/1/31,*********************************,6,0,22
2024/1/31,*********************************,3,0,39
2024/1/31,*************************************,1,0,18
2024/1/31,*****************************************,5,4,805
2024/1/31,*********************************,73,5,67
2024/1/31,*********************************,58,2,29
2024/1/31,******************************************,15,14,907
2024/1/31,**********************************,201,18,91
2024/1/31,**********************************,177,6,32
2024/1/31,**************************************,14,1,37
2024/1/31,**************************************,7,0,20
2024/1/31,***********************************,2,1,254
2024/1/31,**********************************,24,0,12
2024/1/31,**********************************************,12,15,1278
2024/1/31,******************************************,2,3,1638
2024/1/31,**********************************,19,1,66
2024/1/31,**********************************,19,1,27
2024/1/31,******************************************************,243,24,97
2024/1/31,*****************************************************,705,22,32
2024/1/31,*********************************************,1,3,3232
2024/1/31,*******************************************,1,1,635
2024/1/31,***********************************,11,0,16
2024/1/31,***************************************,4,1,141
2024/1/31,************************************,150,4,26
2024/1/31,*****************************************,286,28,100
2024/1/31,********************************,1,0,120
2024/1/31,*******************************,111,2,15
2024/1/31,**********************************,12,1,54
2024/1/31,********************************,24,1,28
2024/1/31,**********************************,17,1,44
2024/1/31,**********************************,273,8,28
2024/1/31,***********************************,1,0,54
2024/1/31,**********************************,1,0,82
2024/1/31,**********************************,2,0,14
2024/1/31,**********************************,642,11,18
2024/1/31,************************************,117,2,19
2024/1/31,**********************************,2,0,45
2024/1/31,*********************************,3,0,26
2024/1/31,************************************************,3901,734,188
2024/1/31,**************************************************,3143,203,64
2024/1/31,***************************************************,2945,261,89
2024/1/31,************************************************,6358,1265,199
2024/1/31,**************************************************,5347,608,114
2024/1/31,***************************************************,3156,1017,322
2024/1/31,*********************************************,8,5,587
2024/1/31,*************************************,2,1,279
2024/1/31,**************************************,2,0,67
2024/1/31,***************************************,55,8,143
2024/1/31,*****************************interstitial******,8,3,344
2024/1/31,***************************************,141,1,9
2024/1/31,***************************************,1,0,6
2024/1/31,***********************************,282,29,105
2024/1/31,*************************************,241,11,44
2024/1/31,***********************************,1435,87,61
2024/1/31,*************************************,723,21,29
2024/1/31,**********************************,42,12,292
2024/1/31,*********************************,166,8,50
2024/1/31,*********************************,1,0,59
2024/1/31,********************************,8,0,12
2024/1/31,*******************************************,59,6,106
2024/1/31,******************************************,20,0,11
2024/1/31,********************************,46,1,19
2024/1/31,********************************,44,1,15
2024/1/31,*****************************************,1,0,269
2024/1/31,*********************************,28,1,32
2024/1/31,*************************************,5,1,121
2024/1/31,******************************************,3,2,622
2024/1/31,**********************************,56,3,47
2024/1/31,**********************************,56,1,23
2024/1/31,*****************************************,24,6,247
2024/1/31,*****************************************,1,0,35
2024/1/31,********************************************,14,8,580
2024/1/31,************************************,136,5,39
2024/1/31,************************************,136,3,20
2024/1/31,*****************************************,60,3,44
2024/1/31,****************************************,69,2,30
2024/1/31,********************************************,12,9,775
2024/1/31,************************************,233,11,49
2024/1/31,************************************,232,5,20
2024/1/31,****************************************,1,0,8
2024/1/31,****************************************,1,0,8
2024/1/31,*********************************************,1,1,645
2024/1/31,*******************************************,3,0,64
2024/1/31,*********************************,1,0,270
2024/1/31,*************************************,69,13,182
2024/1/31,************************************,157,7,47
2024/1/31,****************************************,11,4,369
2024/1/31,***************************************,16,2,97
2024/1/31,*****************************************,1,0,1
2024/1/31,*********************************,381,10,26
2024/1/31,*****************************************,6,0,7
2024/1/31,*****************************************,2,0,23
2024/1/31,*************************************,46,0,7
2024/1/31,*************************************,4,0,20
2024/1/31,**************************************,110,9,83
2024/1/31,*************************************,68,1,19
2024/1/31,********************************,10,0,46
2024/1/31,********************************,52,1,19
2024/1/31,*******************************,77,1,13
2024/1/31,***********************************,25,12,476
2024/1/31,**********************************,40,2,59
2024/1/31,***********************************************,17,0,6
2024/1/31,************************************,30,6,199
2024/1/31,***********************************,30,2,56
2024/1/31,**********************************************,1,0,215
2024/1/31,**************************************,6,0,8
2024/1/31,**************************************,8,0,5
2024/1/31,******************************************,2,0,35
2024/1/31,*************************************,2069,162,78
2024/1/31,**************************************,105,5,43
2024/1/31,********************************************,38,31,807
2024/1/31,**************************************,13990,393,28
2024/1/31,*******************************************,2223,56,25
2024/1/31,************************************,2,0,78
2024/1/31,***********************************,19,2,84
2024/1/31,**********************************,1538,131,85
2024/1/31,*******************************,18,0,11
2024/1/31,*******************************,9,0,12
2024/1/31,***********************************,2,0,107
2024/1/31,**********************************,66752,1727,26
2024/1/31,***************************************,1257,44,35
2024/1/31,********************************,161,28,172
2024/1/31,*********************************,380,42,109
2024/1/31,************************************,4,3,644
2024/1/31,***********************************,4,0,85
2024/1/31,**********************************,2,0,32
2024/1/31,************************************,310,12,37
2024/1/31,************************************,86,8,90
2024/1/31,************************************,351,9,25
2024/1/31,****************************************,1,0,7
2024/1/31,**********************************,253,6,22
2024/1/31,***********************************,2,0,2
